2018-09-25 18:19:07,030 [Dummy-2:9532] [django.db.backends:111] [utils:execute] [DEBUG]- (0.001) SELECT @@SQL_AUTO_IS_NULL; args=None
2018-09-25 18:19:07,030 [Dummy-2:9532] [django.db.backends:111] [utils:execute] [DEBUG]- (0.000) SET SESSION TRANSACTION ISOLATION LEVEL READ COMMITTED; args=None
2018-09-25 18:19:07,039 [Dummy-2:9532] [django.db.backends:111] [utils:execute] [DEBUG]- (0.007) SHOW FULL TABLES; args=None
2018-09-25 18:19:07,044 [Dummy-2:9532] [django.db.backends:111] [utils:execute] [DEBUG]- (0.001) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
2018-09-25 18:21:48,138 [Dummy-2:12104] [django.db.backends:111] [utils:execute] [DEBUG]- (0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
2018-09-25 18:21:48,139 [Dummy-2:12104] [django.db.backends:111] [utils:execute] [DEBUG]- (0.000) SET SESSION TRANSACTION ISOLATION LEVEL READ COMMITTED; args=None
2018-09-25 18:21:48,143 [Dummy-2:12104] [django.db.backends:111] [utils:execute] [DEBUG]- (0.003) SHOW FULL TABLES; args=None
2018-09-25 18:21:48,149 [Dummy-2:12104] [django.db.backends:111] [utils:execute] [DEBUG]- (0.002) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
2018-09-25 18:22:14,715 [Dummy-2:628] [django.db.backends:111] [utils:execute] [DEBUG]- (0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
2018-09-25 18:22:14,716 [Dummy-2:628] [django.db.backends:111] [utils:execute] [DEBUG]- (0.000) SET SESSION TRANSACTION ISOLATION LEVEL READ COMMITTED; args=None
2018-09-25 18:22:14,720 [Dummy-2:628] [django.db.backends:111] [utils:execute] [DEBUG]- (0.004) SHOW FULL TABLES; args=None
2018-09-25 18:22:14,725 [Dummy-2:628] [django.db.backends:111] [utils:execute] [DEBUG]- (0.001) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
2018-09-25 18:22:29,342 [Dummy-2:16352] [django.db.backends:111] [utils:execute] [DEBUG]- (0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
2018-09-25 18:22:29,343 [Dummy-2:16352] [django.db.backends:111] [utils:execute] [DEBUG]- (0.001) SET SESSION TRANSACTION ISOLATION LEVEL READ COMMITTED; args=None
2018-09-25 18:22:29,347 [Dummy-2:16352] [django.db.backends:111] [utils:execute] [DEBUG]- (0.004) SHOW FULL TABLES; args=None
2018-09-25 18:22:29,352 [Dummy-2:16352] [django.db.backends:111] [utils:execute] [DEBUG]- (0.001) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
2018-09-25 18:22:49,765 [Dummy-2:7912] [django.db.backends:111] [utils:execute] [DEBUG]- (0.001) SELECT @@SQL_AUTO_IS_NULL; args=None
2018-09-25 18:22:49,766 [Dummy-2:7912] [django.db.backends:111] [utils:execute] [DEBUG]- (0.000) SET SESSION TRANSACTION ISOLATION LEVEL READ COMMITTED; args=None
2018-09-25 18:22:49,772 [Dummy-2:7912] [django.db.backends:111] [utils:execute] [DEBUG]- (0.006) SHOW FULL TABLES; args=None
2018-09-25 18:22:49,778 [Dummy-2:7912] [django.db.backends:111] [utils:execute] [DEBUG]- (0.001) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
2018-09-25 18:23:31,623 [Dummy-2:2960] [django.db.backends:111] [utils:execute] [DEBUG]- (0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
2018-09-25 18:23:31,624 [Dummy-2:2960] [django.db.backends:111] [utils:execute] [DEBUG]- (0.000) SET SESSION TRANSACTION ISOLATION LEVEL READ COMMITTED; args=None
2018-09-25 18:23:31,628 [Dummy-2:2960] [django.db.backends:111] [utils:execute] [DEBUG]- (0.004) SHOW FULL TABLES; args=None
2018-09-25 18:23:31,633 [Dummy-2:2960] [django.db.backends:111] [utils:execute] [DEBUG]- (0.001) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
2018-09-25 18:24:24,310 [Dummy-2:1512] [django.db.backends:111] [utils:execute] [DEBUG]- (0.001) SELECT @@SQL_AUTO_IS_NULL; args=None
2018-09-25 18:24:24,311 [Dummy-2:1512] [django.db.backends:111] [utils:execute] [DEBUG]- (0.001) SET SESSION TRANSACTION ISOLATION LEVEL READ COMMITTED; args=None
2018-09-25 18:24:24,317 [Dummy-2:1512] [django.db.backends:111] [utils:execute] [DEBUG]- (0.005) SHOW FULL TABLES; args=None
2018-09-25 18:24:24,322 [Dummy-2:1512] [django.db.backends:111] [utils:execute] [DEBUG]- (0.001) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
